Sample rate,Time,HR (bpm),Speed (mi/h),Pace (min/mi),Cadence,Altitude (ft),Stride length (in),Distances (ft),Temperatures (F),Power (W),
1,00:00:00,90,,,,,,,,,
,00:00:01,90,,,,,,,,,
,00:00:02,91,,,,,,,,,
,00:00:03,91,,,,,,,,,
,00:00:04,91,,,,,,,,,
,00:00:05,93,,,,,,,,,
,00:00:06,93,,,,,,,,,
,00:00:07,93,,,,,,,,,
,00:00:08,93,,,,,,,,,
,00:00:09,93,,,,,,,,,
,00:00:10,93,,,,,,,,,
,00:00:11,93,,,,,,,,,
,00:00:12,89,,,,,,,,,
,00:00:13,89,,,,,,,,,
,00:00:14,89,,,,,,,,,
,00:00:15,89,,,,,,,,,
,00:00:16,89,,,,,,,,,
,00:00:17,89,,,,,,,,,
,00:00:18,90,,,,,,,,,
,00:00:19,90,,,,,,,,,
,00:00:20,90,,,,,,,,,
,00:00:21,88,,,,,,,,,
,00:00:22,88,,,,,,,,,
,00:00:23,89,,,,,,,,,
,00:00:24,87,,,,,,,,,
,00:00:25,88,,,,,,,,,
,00:00:26,88,,,,,,,,,
,00:00:27,88,,,,,,,,,
,00:00:28,88,,,,,,,,,
,00:00:29,87,,,,,,,,,
,00:00:30,86,,,,,,,,,
,00:00:31,86,,,,,,,,,
,00:00:32,87,,,,,,,,,
,00:00:33,87,,,,,,,,,
,00:00:34,86,,,,,,,,,
,00:00:35,86,,,,,,,,,
,00:00:36,85,,,,,,,,,
,00:00:37,83,,,,,,,,,
,00:00:38,81,,,,,,,,,
,00:00:39,82,,,,,,,,,
,00:00:40,82,,,,,,,,,
,00:00:41,83,,,,,,,,,
,00:00:42,83,,,,,,,,,
,00:00:43,83,,,,,,,,,
,00:00:44,83,,,,,,,,,
,00:00:45,83,,,,,,,,,
,00:00:46,80,,,,,,,,,
,00:00:47,80,,,,,,,,,
,00:00:48,80,,,,,,,,,
,00:00:49,81,,,,,,,,,
,00:00:50,82,,,,,,,,,
,00:00:51,84,,,,,,,,,
,00:00:52,84,,,,,,,,,
,00:00:53,84,,,,,,,,,
,00:00:54,84,,,,,,,,,
,00:00:55,83,,,,,,,,,
,00:00:56,84,,,,,,,,,
,00:00:57,84,,,,,,,,,
,00:00:58,86,,,,,,,,,
,00:00:59,86,,,,,,,,,
,00:01:00,87,,,,,,,,,
,00:01:01,86,,,,,,,,,
,00:01:02,85,,,,,,,,,
,00:01:03,85,,,,,,,,,
,00:01:04,85,,,,,,,,,
,00:01:05,84,,,,,,,,,
,00:01:06,84,,,,,,,,,
,00:01:07,83,,,,,,,,,
,00:01:08,82,,,,,,,,,
,00:01:09,83,,,,,,,,,
,00:01:10,83,,,,,,,,,
,00:01:11,83,,,,,,,,,
,00:01:12,84,,,,,,,,,
,00:01:13,84,,,,,,,,,
,00:01:14,85,,,,,,,,,
,00:01:15,86,,,,,,,,,
,00:01:16,86,,,,,,,,,
,00:01:17,86,,,,,,,,,
,00:01:18,86,,,,,,,,,
,00:01:19,86,,,,,,,,,
,00:01:20,86,,,,,,,,,
,00:01:21,86,,,,,,,,,
,00:01:22,85,,,,,,,,,
,00:01:23,83,,,,,,,,,
,00:01:24,81,,,,,,,,,
,00:01:25,81,,,,,,,,,
,00:01:26,81,,,,,,,,,
,00:01:27,81,,,,,,,,,
,00:01:28,82,,,,,,,,,
,00:01:29,82,,,,,,,,,
,00:01:30,82,,,,,,,,,
,00:01:31,81,,,,,,,,,
,00:01:32,82,,,,,,,,,
,00:01:33,81,,,,,,,,,
,00:01:34,82,,,,,,,,,
,00:01:35,82,,,,,,,,,
,00:01:36,82,,,,,,,,,
,00:01:37,82,,,,,,,,,
,00:01:38,82,,,,,,,,,
,00:01:39,82,,,,,,,,,
,00:01:40,82,,,,,,,,,
,00:01:41,82,,,,,,,,,
,00:01:42,82,,,,,,,,,
,00:01:43,82,,,,,,,,,
,00:01:44,83,,,,,,,,,
,00:01:45,83,,,,,,,,,
,00:01:46,83,,,,,,,,,
,00:01:47,83,,,,,,,,,
,00:01:48,84,,,,,,,,,
,00:01:49,84,,,,,,,,,
,00:01:50,81,,,,,,,,,
,00:01:51,78,,,,,,,,,
,00:01:52,78,,,,,,,,,
,00:01:53,78,,,,,,,,,
,00:01:54,79,,,,,,,,,
,00:01:55,80,,,,,,,,,
,00:01:56,81,,,,,,,,,
,00:01:57,81,,,,,,,,,
,00:01:58,81,,,,,,,,,
,00:01:59,81,,,,,,,,,
,00:02:00,81,,,,,,,,,
,00:02:01,82,,,,,,,,,
,00:02:02,84,,,,,,,,,
,00:02:03,87,,,,,,,,,
,00:02:04,88,,,,,,,,,
,00:02:05,89,,,,,,,,,
,00:02:06,89,,,,,,,,,
,00:02:07,89,,,,,,,,,
,00:02:08,89,,,,,,,,,
,00:02:09,89,,,,,,,,,
,00:02:10,89,,,,,,,,,
,00:02:11,89,,,,,,,,,
,00:02:12,88,,,,,,,,,
,00:02:13,83,,,,,,,,,
,00:02:14,82,,,,,,,,,
,00:02:15,82,,,,,,,,,
,00:02:16,82,,,,,,,,,
,00:02:17,82,,,,,,,,,
,00:02:18,83,,,,,,,,,
,00:02:19,82,,,,,,,,,
